date,etfCode,symbol,name,shares,weight,closePrice,changePercent,shareDelta,status,sourceUrl,fetchedAt
2026-06-17,00981A,3264,欣銓,1000,0,211.5,-3.8636,0,不變,https://goal-star.com/fund/00981A,2026-06-17T14:07:23.681Z
2026-06-17,00981A,1815,富喬,107000,0,95,0.211,0,不變,https://goal-star.com/fund/00981A,2026-06-17T14:07:23.681Z
2026-06-17,00981A,2330,台積電,11960000,9.77,2385,-0.625,0,不變,https://goal-star.com/fund/00981A,2026-06-17T14:07:23.681Z
2026-06-17,00981A,2317,鴻海,7307000,0.68,272,1.1152,0,不變,https://goal-star.com/fund/00981A,2026-06-17T14:07:23.681Z
2026-06-17,00981A,2454,聯發科,4861000,7.42,4460,-2.193,0,不變,https://goal-star.com/fund/00981A,2026-06-17T14:07:23.681Z
2026-06-17,00981A,2308,台達電,6572000,4.85,2155,-3.3632,0,不變,https://goal-star.com/fund/00981A,2026-06-17T14:07:23.681Z
2026-06-17,00981A,2382,廣達,1000,0,374,3.1724,0,不變,https://goal-star.com/fund/00981A,2026-06-17T14:07:23.681Z
2026-06-17,00981A,2345,智邦,6334000,5.41,2495,-0.9921,0,不變,https://goal-star.com/fund/00981A,2026-06-17T14:07:23.681Z
2026-06-17,00981A,3653,健策,2267000,3.1,3990,5.4161,0,不變,https://goal-star.com/fund/00981A,2026-06-17T14:07:23.681Z
2026-06-17,00981A,2383,台光電,4486000,7.99,5200,1.5625,0,不變,https://goal-star.com/fund/00981A,2026-06-17T14:07:23.681Z
2026-06-17,00981A,3665,貿聯-KY,4833848,3.46,2090,-1.4151,0,不變,https://goal-star.com/fund/00981A,2026-06-17T14:07:23.681Z
2026-06-17,00981A,3533,嘉澤,852000,0.67,2300,0.2179,0,不變,https://goal-star.com/fund/00981A,2026-06-17T14:07:23.681Z
2026-06-17,00981A,3017,奇鋐,5191000,4.2,2365,-0.211,0,不變,https://goal-star.com/fund/00981A,2026-06-17T14:07:23.681Z
2026-06-17,00981A,2368,金像電,8315000,3.9,1370,1.8587,0,不變,https://goal-star.com/fund/00981A,2026-06-17T14:07:23.681Z
2026-06-17,00981A,3661,世芯-KY,1000,0,4320,0.1159,0,不變,https://goal-star.com/fund/00981A,2026-06-17T14:07:23.681Z
2026-06-17,00981A,2449,京元電子,3645000,0.35,280.5,0.8993,0,不變,https://goal-star.com/fund/00981A,2026-06-17T14:07:23.681Z
2026-06-17,00981A,1590,亞德客-KY,530000,0.24,1320,1.9305,0,不變,https://goal-star.com/fund/00981A,2026-06-17T14:07:23.681Z
2026-06-17,00981A,3443,創意,258000,0.45,5075,3.1504,0,不變,https://goal-star.com/fund/00981A,2026-06-17T14:07:23.681Z
2026-06-17,00981A,2327,國巨*,23292000,7.85,984,3.5789,500000,加碼,https://goal-star.com/fund/00981A,2026-06-17T14:07:23.681Z
2026-06-17,00981A,3711,日月光投控,17948000,3.66,595,0.5068,0,不變,https://goal-star.com/fund/00981A,2026-06-17T14:07:23.681Z
2026-06-17,00981A,3037,欣興,12466000,4.22,988,0.7136,0,不變,https://goal-star.com/fund/00981A,2026-06-17T14:07:23.681Z
2026-06-17,00981A,3008,大立光,1000,0,5145,5.8642,0,不變,https://goal-star.com/fund/00981A,2026-06-17T14:07:23.681Z
