date,etfCode,symbol,name,shares,weight,closePrice,changePercent,shareDelta,status,sourceUrl,fetchedAt
2026-06-02,00992A,2330,台積電,1722000,8.36,2380,1.0616,-39000,減碼,https://goal-star.com/fund/00992A,2026-06-02T14:35:33.474Z
2026-06-02,00992A,2454,聯發科,406000,3.75,4525,-0.6586,-6000,減碼,https://goal-star.com/fund/00992A,2026-06-02T14:35:33.474Z
2026-06-02,00992A,2308,台達電,348000,1.68,2360,-2.4793,-9000,減碼,https://goal-star.com/fund/00992A,2026-06-02T14:35:33.474Z
2026-06-02,00992A,2345,智邦,987000,4.88,2425,-3.3865,-25000,減碼,https://goal-star.com/fund/00992A,2026-06-02T14:35:33.474Z
2026-06-02,00992A,6669,緯穎,390000,4.36,5475,-0.7253,-10000,減碼,https://goal-star.com/fund/00992A,2026-06-02T14:35:33.474Z
2026-06-02,00992A,6223,旺矽,330000,3.71,5515,-2.9049,-9000,減碼,https://goal-star.com/fund/00992A,2026-06-02T14:35:33.474Z
2026-06-02,00992A,3653,健策,193000,1.57,3990,3.9063,-4000,減碼,https://goal-star.com/fund/00992A,2026-06-02T14:35:33.474Z
2026-06-02,00992A,2383,台光電,623000,6.18,4860,-4.142,-13000,減碼,https://goal-star.com/fund/00992A,2026-06-02T14:35:33.474Z
2026-06-02,00992A,6442,光聖,74000,0.28,1880,-0.2653,-6000,減碼,https://goal-star.com/fund/00992A,2026-06-02T14:35:33.474Z
2026-06-02,00992A,3665,貿聯-KY,652000,2.92,2195,3.5377,-15000,減碼,https://goal-star.com/fund/00992A,2026-06-02T14:35:33.474Z
2026-06-02,00992A,3533,嘉澤,38000,0.2,2615,-2.243,-10000,減碼,https://goal-star.com/fund/00992A,2026-06-02T14:35:33.474Z
2026-06-02,00992A,3017,奇鋐,639000,3.52,2700,-3.0521,-12000,減碼,https://goal-star.com/fund/00992A,2026-06-02T14:35:33.474Z
2026-06-02,00992A,3491,昇達科,45000,0.19,2070,-4.388,-2000,減碼,https://goal-star.com/fund/00992A,2026-06-02T14:35:33.474Z
2026-06-02,00992A,2059,川湖,315000,3.26,5075,-2.6846,-8000,減碼,https://goal-star.com/fund/00992A,2026-06-02T14:35:33.474Z
2026-06-02,00992A,2360,致茂,202000,1,2420,-6.2016,-5000,減碼,https://goal-star.com/fund/00992A,2026-06-02T14:35:33.474Z
2026-06-02,00992A,6274,台燿,621000,2.01,1590,-6.7449,-15000,減碼,https://goal-star.com/fund/00992A,2026-06-02T14:35:33.474Z
2026-06-02,00992A,6510,精測,262000,1.72,3215,-2.2796,-10000,減碼,https://goal-star.com/fund/00992A,2026-06-02T14:35:33.474Z
2026-06-02,00992A,2368,金像電,652000,1.7,1275,-3.7736,-17000,減碼,https://goal-star.com/fund/00992A,2026-06-02T14:35:33.474Z
2026-06-02,00992A,6805,富世達,110000,0.49,2190,3.3019,-2000,減碼,https://goal-star.com/fund/00992A,2026-06-02T14:35:33.474Z
2026-06-02,00992A,3661,世芯-KY,284000,2.65,4575,-5.7673,-9000,減碼,https://goal-star.com/fund/00992A,2026-06-02T14:35:33.474Z
2026-06-02,00992A,6515,穎崴,147000,2.42,8080,-7.1798,-4000,減碼,https://goal-star.com/fund/00992A,2026-06-02T14:35:33.474Z
2026-06-02,00992A,6584,南俊國際,1454000,1.95,658,-9.9863,-31000,減碼,https://goal-star.com/fund/00992A,2026-06-02T14:35:33.474Z
2026-06-02,00992A,7769,鴻勁,97000,1.42,7175,-4.5243,-3000,減碼,https://goal-star.com/fund/00992A,2026-06-02T14:35:33.474Z
2026-06-02,00992A,3443,創意,351000,3.25,4535,-2.5779,-9000,減碼,https://goal-star.com/fund/00992A,2026-06-02T14:35:33.474Z
2026-06-02,00992A,8996,高力,1630000,3.49,1050,0.4785,-44000,減碼,https://goal-star.com/fund/00992A,2026-06-02T14:35:33.474Z
2026-06-02,00992A,2327,國巨*,1566000,2.7,846,7.0886,-34000,減碼,https://goal-star.com/fund/00992A,2026-06-02T14:35:33.474Z
2026-06-02,00992A,8299,群聯,479000,2.76,2820,1.8051,-10000,減碼,https://goal-star.com/fund/00992A,2026-06-02T14:35:33.474Z
2026-06-02,00992A,5274,信驊,29000,1.07,18095,-2.1892,-1000,減碼,https://goal-star.com/fund/00992A,2026-06-02T14:35:33.474Z
2026-06-02,00992A,3711,日月光投控,1632000,1.96,590,-1.8303,-8000,減碼,https://goal-star.com/fund/00992A,2026-06-02T14:35:33.474Z
2026-06-02,00992A,3037,欣興,2828000,5.63,975,-7.1429,-74000,減碼,https://goal-star.com/fund/00992A,2026-06-02T14:35:33.474Z
2026-06-02,00992A,8021,尖點,506000,0.46,445,-4.0948,-12000,減碼,https://goal-star.com/fund/00992A,2026-06-02T14:35:33.474Z
2026-06-02,00992A,3189,景碩,475013,0.72,743,-4.0052,-11000,減碼,https://goal-star.com/fund/00992A,2026-06-02T14:35:33.474Z
2026-06-02,00992A,3260,威剛,385000,0.37,469.5,9.9532,-8000,減碼,https://goal-star.com/fund/00992A,2026-06-02T14:35:33.474Z
