date,etfCode,symbol,name,shares,weight,closePrice,changePercent,shareDelta,status,sourceUrl,fetchedAt
2026-05-11,00981A,2330,台積電,11359000,9.23,2235,-2.4017,0,不變,https://goal-star.com/fund/00981A,2026-05-12T14:05:44.404Z
2026-05-11,00981A,2317,鴻海,14177000,1.3,252,0.8,0,不變,https://goal-star.com/fund/00981A,2026-05-12T14:05:44.404Z
2026-05-11,00981A,2454,聯發科,4463000,6.29,3880,6.8871,0,不變,https://goal-star.com/fund/00981A,2026-05-12T14:05:44.404Z
2026-05-11,00981A,2308,台達電,6572000,5.36,2245,2.0455,0,不變,https://goal-star.com/fund/00981A,2026-05-12T14:05:44.404Z
2026-05-11,00981A,2357,華碩,1996000,0.5,686,5.5385,0,不變,https://goal-star.com/fund/00981A,2026-05-12T14:05:44.404Z
2026-05-11,00981A,2345,智邦,6231000,5.87,2590,9.0526,0,不變,https://goal-star.com/fund/00981A,2026-05-12T14:05:44.404Z
2026-05-11,00981A,6669,緯穎,2047000,3.97,5340,2.6923,0,不變,https://goal-star.com/fund/00981A,2026-05-12T14:05:44.404Z
2026-05-11,00981A,6223,旺矽,2084000,3.78,4985,-0.796,30000,加碼,https://goal-star.com/fund/00981A,2026-05-12T14:05:44.404Z
2026-05-11,00981A,3653,健策,2267000,3.31,4015,10,0,不變,https://goal-star.com/fund/00981A,2026-05-12T14:05:44.404Z
2026-05-11,00981A,2383,台光電,4605000,8.12,4850,2.1053,0,不變,https://goal-star.com/fund/00981A,2026-05-12T14:05:44.404Z
2026-05-11,00981A,3665,貿聯-KY,4703848,4.97,2905,5.6364,0,不變,https://goal-star.com/fund/00981A,2026-05-12T14:05:44.404Z
2026-05-11,00981A,3017,奇鋐,4351000,4.04,2555,4.499,149000,加碼,https://goal-star.com/fund/00981A,2026-05-12T14:05:44.404Z
2026-05-11,00981A,6187,萬潤,1224000,0.49,1110,3.7383,0,不變,https://goal-star.com/fund/00981A,2026-05-12T14:05:44.404Z
2026-05-11,00981A,6274,台燿,4151000,2.2,1455,6.2044,0,不變,https://goal-star.com/fund/00981A,2026-05-12T14:05:44.404Z
2026-05-11,00981A,1319,東陽,511000,0.02,80.8,0.7481,0,不變,https://goal-star.com/fund/00981A,2026-05-12T14:05:44.404Z
2026-05-11,00981A,5439,高技,3228000,0.46,391,0.7732,0,不變,https://goal-star.com/fund/00981A,2026-05-12T14:05:44.404Z
2026-05-11,00981A,6510,精測,930000,1.28,3790,5.8659,0,不變,https://goal-star.com/fund/00981A,2026-05-12T14:05:44.404Z
2026-05-11,00981A,2368,金像電,8260000,4.2,1400,5.2632,0,不變,https://goal-star.com/fund/00981A,2026-05-12T14:05:44.404Z
2026-05-11,00981A,6805,富世達,1761000,1.28,1995,0.7576,0,不變,https://goal-star.com/fund/00981A,2026-05-12T14:05:44.404Z
2026-05-11,00981A,3036,文曄,1200000,0.12,264.5,9.9792,1200000,新增,https://goal-star.com/fund/00981A,2026-05-12T14:05:44.404Z
2026-05-11,00981A,3661,世芯-KY,296000,0.58,5375,9.9182,0,不變,https://goal-star.com/fund/00981A,2026-05-12T14:05:44.404Z
2026-05-11,00981A,2449,京元電子,12919000,1.41,299.5,-3.6977,0,不變,https://goal-star.com/fund/00981A,2026-05-12T14:05:44.404Z
2026-05-11,00981A,6515,穎崴,442000,1.62,10090,4.7767,20000,加碼,https://goal-star.com/fund/00981A,2026-05-12T14:05:44.404Z
2026-05-11,00981A,8210,勤誠,1967000,1.11,1555,9.894,427000,加碼,https://goal-star.com/fund/00981A,2026-05-12T14:05:44.404Z
2026-05-11,00981A,1590,亞德客-KY,530000,0.3,1550,2.99,0,不變,https://goal-star.com/fund/00981A,2026-05-12T14:05:44.404Z
2026-05-11,00981A,3443,創意,764000,1.59,5730,9.9808,0,不變,https://goal-star.com/fund/00981A,2026-05-12T14:05:44.404Z
2026-05-11,00981A,3264,欣銓,9030000,0.74,225.5,0.6696,0,不變,https://goal-star.com/fund/00981A,2026-05-12T14:05:44.404Z
2026-05-11,00981A,8996,高力,1034000,0.4,1055,3.9409,0,不變,https://goal-star.com/fund/00981A,2026-05-12T14:05:44.404Z
2026-05-11,00981A,2327,國巨*,17221000,2.45,391.5,0.6427,0,不變,https://goal-star.com/fund/00981A,2026-05-12T14:05:44.404Z
2026-05-11,00981A,5274,信驊,483000,3.13,17825,5.1312,0,不變,https://goal-star.com/fund/00981A,2026-05-12T14:05:44.404Z
2026-05-11,00981A,3711,日月光投控,13833000,2.7,537,4.0698,0,不變,https://goal-star.com/fund/00981A,2026-05-12T14:05:44.404Z
2026-05-11,00981A,6415,矽力*-KY,940000,0.16,468,9.9882,280000,加碼,https://goal-star.com/fund/00981A,2026-05-12T14:05:44.404Z
2026-05-11,00981A,3037,欣興,10387000,3.25,861,5.2567,0,不變,https://goal-star.com/fund/00981A,2026-05-12T14:05:44.404Z
2026-05-11,00981A,8358,金居,1980000,0.33,462,1.6502,0,不變,https://goal-star.com/fund/00981A,2026-05-12T14:05:44.404Z
2026-05-11,00981A,3189,景碩,0,0,503,9.8253,-3744000,未知,https://goal-star.com/fund/00981A,2026-05-12T14:05:44.404Z
2026-05-11,00981A,2404,漢唐,1394000,0.52,1025,0.9852,0,不變,https://goal-star.com/fund/00981A,2026-05-12T14:05:44.404Z
2026-05-11,00981A,4966,譜瑞-KY,1036000,0.28,735,9.8655,550000,加碼,https://goal-star.com/fund/00981A,2026-05-12T14:05:44.404Z
2026-05-11,00981A,2481,強茂,3654000,0.14,109,9.5477,0,不變,https://goal-star.com/fund/00981A,2026-05-12T14:05:44.404Z
2026-05-11,00981A,8046,南電,12658000,4.18,908,6.3232,0,不變,https://goal-star.com/fund/00981A,2026-05-12T14:05:44.404Z
2026-05-11,00981A,3376,新日興,1741000,0.13,206.5,1.9753,0,不變,https://goal-star.com/fund/00981A,2026-05-12T14:05:44.404Z
2026-05-11,00981A,6147,頎邦,1000,0,196.5,-0.7576,0,不變,https://goal-star.com/fund/00981A,2026-05-12T14:05:44.404Z
2026-05-11,00981A,2313,華通,2624000,0.23,242,-4.5365,0,不變,https://goal-star.com/fund/00981A,2026-05-12T14:05:44.404Z
2026-05-11,00981A,2303,聯電,46374000,1.6,95,4.0526,0,不變,https://goal-star.com/fund/00981A,2026-05-12T14:05:44.404Z
2026-05-11,00981A,3217,優群,874000,0.06,178,1.1364,0,不變,https://goal-star.com/fund/00981A,2026-05-12T14:05:44.404Z
2026-05-11,00981A,2439,美律,18000,0,86.4,0.232,0,不變,https://goal-star.com/fund/00981A,2026-05-12T14:05:44.404Z
2026-05-11,00981A,5347,世界,1000,0,174.5,4.1791,0,不變,https://goal-star.com/fund/00981A,2026-05-12T14:05:44.404Z
2026-05-11,00981A,6191,精成科,3988000,0.14,94.8,-0.733,0,不變,https://goal-star.com/fund/00981A,2026-05-12T14:05:44.404Z
2026-05-11,00981A,2337,旺宏,8000,0,159.5,4.2484,0,不變,https://goal-star.com/fund/00981A,2026-05-12T14:05:44.404Z
2026-05-11,00981A,1815,富喬,107000,0,110.5,3.271,0,不變,https://goal-star.com/fund/00981A,2026-05-12T14:05:44.404Z
2026-05-11,00981A,2002,中鋼,5163000,0.03,18.6,-0.8,0,不變,https://goal-star.com/fund/00981A,2026-05-12T14:05:44.404Z
2026-05-11,00981A,8150,南茂,11334000,0.37,91,-1.8339,0,不變,https://goal-star.com/fund/00981A,2026-05-12T14:05:44.404Z
