date,etfCode,symbol,name,shares,weight,closePrice,changePercent,shareDelta,status,sourceUrl,fetchedAt
2026-05-11,00985A,2330,台積電,1372000,27.14,2235,-2.4017,0,不變,https://goal-star.com/fund/00985A,2026-05-12T14:05:44.282Z
2026-05-11,00985A,2317,鴻海,117000,0.26,252,0.8,0,不變,https://goal-star.com/fund/00985A,2026-05-12T14:05:44.282Z
2026-05-11,00985A,2454,聯發科,47000,1.61,3880,6.8871,0,不變,https://goal-star.com/fund/00985A,2026-05-12T14:05:44.282Z
2026-05-11,00985A,2881,富邦金,3448000,2.91,95.5,-1.2409,0,不變,https://goal-star.com/fund/00985A,2026-05-12T14:05:44.282Z
2026-05-11,00985A,2308,台達電,119000,2.36,2245,2.0455,0,不變,https://goal-star.com/fund/00985A,2026-05-12T14:05:44.282Z
2026-05-11,00985A,2382,廣達,14000,0.04,343.5,0.8811,0,不變,https://goal-star.com/fund/00985A,2026-05-12T14:05:44.282Z
2026-05-11,00985A,2891,中信金,4922000,2.41,55.3,-1.9504,0,不變,https://goal-star.com/fund/00985A,2026-05-12T14:05:44.282Z
2026-05-11,00985A,2345,智邦,66000,1.51,2590,9.0526,0,不變,https://goal-star.com/fund/00985A,2026-05-12T14:05:44.282Z
2026-05-11,00985A,6669,緯穎,41000,1.94,5340,2.6923,0,不變,https://goal-star.com/fund/00985A,2026-05-12T14:05:44.282Z
2026-05-11,00985A,6223,旺矽,30000,1.32,4985,-0.796,0,不變,https://goal-star.com/fund/00985A,2026-05-12T14:05:44.282Z
2026-05-11,00985A,3653,健策,33000,1.17,4015,10,0,不變,https://goal-star.com/fund/00985A,2026-05-12T14:05:44.282Z
2026-05-11,00985A,3293,鈊象,229000,1.48,731,-0.5442,0,不變,https://goal-star.com/fund/00985A,2026-05-12T14:05:44.282Z
2026-05-11,00985A,2383,台光電,37000,1.59,4850,2.1053,0,不變,https://goal-star.com/fund/00985A,2026-05-12T14:05:44.282Z
2026-05-11,00985A,6442,光聖,64000,1.1,1950,-0.7634,0,不變,https://goal-star.com/fund/00985A,2026-05-12T14:05:44.282Z
2026-05-11,00985A,3665,貿聯-KY,41000,1.05,2905,5.6364,0,不變,https://goal-star.com/fund/00985A,2026-05-12T14:05:44.282Z
2026-05-11,00985A,3533,嘉澤,19000,0.48,2845,5.3704,0,不變,https://goal-star.com/fund/00985A,2026-05-12T14:05:44.282Z
2026-05-11,00985A,3017,奇鋐,91000,2.06,2555,4.499,0,不變,https://goal-star.com/fund/00985A,2026-05-12T14:05:44.282Z
2026-05-11,00985A,3529,力旺,37000,1.46,4460,2.8835,0,不變,https://goal-star.com/fund/00985A,2026-05-12T14:05:44.282Z
2026-05-11,00985A,2059,川湖,153000,7.48,5520,3.7594,0,不變,https://goal-star.com/fund/00985A,2026-05-12T14:05:44.282Z
2026-05-11,00985A,2360,致茂,100000,2.09,2360,5.8296,0,不變,https://goal-star.com/fund/00985A,2026-05-12T14:05:44.282Z
2026-05-11,00985A,2368,金像電,191000,2.37,1400,5.2632,0,不變,https://goal-star.com/fund/00985A,2026-05-12T14:05:44.282Z
2026-05-11,00985A,1519,華城,5000,0.04,921,2.7902,0,不變,https://goal-star.com/fund/00985A,2026-05-12T14:05:44.282Z
2026-05-11,00985A,6805,富世達,77000,1.36,1995,0.7576,0,不變,https://goal-star.com/fund/00985A,2026-05-12T14:05:44.282Z
2026-05-11,00985A,3661,世芯-KY,39000,1.86,5375,9.9182,0,不變,https://goal-star.com/fund/00985A,2026-05-12T14:05:44.282Z
2026-05-11,00985A,2408,南亞科,221000,0.59,301,9.854,0,不變,https://goal-star.com/fund/00985A,2026-05-12T14:05:44.282Z
2026-05-11,00985A,4749,新應材,57000,0.59,1175,8.2949,0,不變,https://goal-star.com/fund/00985A,2026-05-12T14:05:44.282Z
2026-05-11,00985A,6515,穎崴,1000,0.09,10090,4.7767,0,不變,https://goal-star.com/fund/00985A,2026-05-12T14:05:44.282Z
2026-05-11,00985A,2344,華邦電,1336000,1.39,117.5,9.8131,0,不變,https://goal-star.com/fund/00985A,2026-05-12T14:05:44.282Z
2026-05-11,00985A,8210,勤誠,32000,0.44,1555,9.894,0,不變,https://goal-star.com/fund/00985A,2026-05-12T14:05:44.282Z
2026-05-11,00985A,7769,鴻勁,37000,2.09,6380,10,0,不變,https://goal-star.com/fund/00985A,2026-05-12T14:05:44.282Z
2026-05-11,00985A,3264,欣銓,26000,0.05,225.5,0.6696,0,不變,https://goal-star.com/fund/00985A,2026-05-12T14:05:44.282Z
2026-05-11,00985A,8996,高力,96000,0.9,1055,3.9409,0,不變,https://goal-star.com/fund/00985A,2026-05-12T14:05:44.282Z
2026-05-11,00985A,1477,聚陽,752000,1.45,218,-1.5801,0,不變,https://goal-star.com/fund/00985A,2026-05-12T14:05:44.282Z
2026-05-11,00985A,8299,群聯,80000,1.89,2670,9.8765,0,不變,https://goal-star.com/fund/00985A,2026-05-12T14:05:44.282Z
2026-05-11,00985A,3711,日月光投控,518000,2.46,537,4.0698,0,不變,https://goal-star.com/fund/00985A,2026-05-12T14:05:44.282Z
2026-05-11,00985A,6415,矽力*-KY,256000,1.06,468,9.9882,0,不變,https://goal-star.com/fund/00985A,2026-05-12T14:05:44.282Z
2026-05-11,00985A,6781,AES-KY,127000,1.48,1320,7.3171,0,不變,https://goal-star.com/fund/00985A,2026-05-12T14:05:44.282Z
2026-05-11,00985A,3037,欣興,6000,0.05,861,5.2567,0,不變,https://goal-star.com/fund/00985A,2026-05-12T14:05:44.282Z
2026-05-11,00985A,4958,臻鼎-KY,53000,0.19,412,2.7431,0,不變,https://goal-star.com/fund/00985A,2026-05-12T14:05:44.282Z
2026-05-11,00985A,3189,景碩,24000,0.11,503,9.8253,0,不變,https://goal-star.com/fund/00985A,2026-05-12T14:05:44.282Z
2026-05-11,00985A,8046,南電,134000,1.08,908,6.3232,0,不變,https://goal-star.com/fund/00985A,2026-05-12T14:05:44.282Z
2026-05-11,00985A,6488,環球晶,190000,1.4,835,4.1147,0,不變,https://goal-star.com/fund/00985A,2026-05-12T14:05:44.282Z
2026-05-11,00985A,3105,穩懋,41000,0.19,526,6.802,0,不變,https://goal-star.com/fund/00985A,2026-05-12T14:05:44.282Z
2026-05-11,00985A,1216,統一,3076000,2.01,73.9,0.9563,0,不變,https://goal-star.com/fund/00985A,2026-05-12T14:05:44.282Z
2026-05-11,00985A,6239,力成,25000,0.05,225.5,1.5766,0,不變,https://goal-star.com/fund/00985A,2026-05-12T14:05:44.282Z
2026-05-11,00985A,4904,遠傳,2320000,1.98,96.2,0.3128,0,不變,https://goal-star.com/fund/00985A,2026-05-12T14:05:44.282Z
2026-05-11,00985A,2412,中華電,561000,0.67,135.5,-0.7326,0,不變,https://goal-star.com/fund/00985A,2026-05-12T14:05:44.282Z
2026-05-11,00985A,2474,可成,139000,0.26,208,1.4634,0,不變,https://goal-star.com/fund/00985A,2026-05-12T14:05:44.282Z
2026-05-11,00985A,2395,研華,104000,0.44,478.5,0.4197,0,不變,https://goal-star.com/fund/00985A,2026-05-12T14:05:44.282Z
2026-05-11,00985A,6789,采鈺,378000,2.01,600,-0.4975,0,不變,https://goal-star.com/fund/00985A,2026-05-12T14:05:44.282Z
