date,etfCode,symbol,name,shares,weight,closePrice,changePercent,shareDelta,status,sourceUrl,fetchedAt
2026-06-26,00992A,2330,台積電,1406000,7.77,2340,-2.0921,0,不變,https://goal-star.com/fund/00992A,2026-06-26T12:29:47.448Z
2026-06-26,00992A,2454,聯發科,406000,3.72,3880,-9.9768,0,不變,https://goal-star.com/fund/00992A,2026-06-26T12:29:47.448Z
2026-06-26,00992A,2345,智邦,977000,5.49,2380,0,0,不變,https://goal-star.com/fund/00992A,2026-06-26T12:29:47.448Z
2026-06-26,00992A,6223,旺矽,326000,5,6500,-5.8653,0,不變,https://goal-star.com/fund/00992A,2026-06-26T12:29:47.448Z
2026-06-26,00992A,2383,台光電,563000,6.99,5255,-6.8262,0,不變,https://goal-star.com/fund/00992A,2026-06-26T12:29:47.448Z
2026-06-26,00992A,3665,貿聯-KY,955000,4.18,1855,-3.3854,0,不變,https://goal-star.com/fund/00992A,2026-06-26T12:29:47.448Z
2026-06-26,00992A,3017,奇鋐,1009000,5.37,2255,-9.98,0,不變,https://goal-star.com/fund/00992A,2026-06-26T12:29:47.448Z
2026-06-26,00992A,6187,萬潤,1220000,3.1,1075,-2.7149,0,不變,https://goal-star.com/fund/00992A,2026-06-26T12:29:47.448Z
2026-06-26,00992A,3491,昇達科,1000,0,1230,-8.209,0,不變,https://goal-star.com/fund/00992A,2026-06-26T12:29:47.448Z
2026-06-26,00992A,2059,川湖,293000,4.84,6990,-4.4429,0,不變,https://goal-star.com/fund/00992A,2026-06-26T12:29:47.448Z
2026-06-26,00992A,2360,致茂,50000,0.24,2035,-6.865,0,不變,https://goal-star.com/fund/00992A,2026-06-26T12:29:47.448Z
2026-06-26,00992A,2368,金像電,745000,2.09,1190,-4.0323,-200000,減碼,https://goal-star.com/fund/00992A,2026-06-26T12:29:47.448Z
2026-06-26,00992A,6805,富世達,109000,0.42,1640,-6.2857,0,不變,https://goal-star.com/fund/00992A,2026-06-26T12:29:47.448Z
2026-06-26,00992A,3661,世芯-KY,215000,1.97,3870,-8.5106,0,不變,https://goal-star.com/fund/00992A,2026-06-26T12:29:47.448Z
2026-06-26,00992A,6515,穎崴,145000,2.8,8190,-10,0,不變,https://goal-star.com/fund/00992A,2026-06-26T12:29:47.448Z
2026-06-26,00992A,6584,南俊國際,2231000,3.73,708,-2.7473,0,不變,https://goal-star.com/fund/00992A,2026-06-26T12:29:47.448Z
2026-06-26,00992A,3443,創意,311000,3.25,4420,-8.866,0,不變,https://goal-star.com/fund/00992A,2026-06-26T12:29:47.448Z
2026-06-26,00992A,3264,欣銓,72000,0.04,214.5,-5.9211,0,不變,https://goal-star.com/fund/00992A,2026-06-26T12:29:47.448Z
2026-06-26,00992A,8996,高力,1630000,5.27,1370,-6.1644,0,不變,https://goal-star.com/fund/00992A,2026-06-26T12:29:47.448Z
2026-06-26,00992A,2327,國巨*,1566000,3.75,1015,-9.7778,0,不變,https://goal-star.com/fund/00992A,2026-06-26T12:29:47.448Z
2026-06-26,00992A,8299,群聯,445000,2.43,2310,-6.6667,0,不變,https://goal-star.com/fund/00992A,2026-06-26T12:29:47.448Z
2026-06-26,00992A,3711,日月光投控,1629000,2.43,632,-1.4041,0,不變,https://goal-star.com/fund/00992A,2026-06-26T12:29:47.448Z
2026-06-26,00992A,3037,欣興,2097000,4.83,975,-4.4118,0,不變,https://goal-star.com/fund/00992A,2026-06-26T12:29:47.448Z
2026-06-26,00992A,3008,大立光,380000,4.24,4720,-8.6157,0,不變,https://goal-star.com/fund/00992A,2026-06-26T12:29:47.448Z
2026-06-26,00992A,8021,尖點,1501000,1.9,535,-3.9497,0,不變,https://goal-star.com/fund/00992A,2026-06-26T12:29:47.448Z
2026-06-26,00992A,3189,景碩,440013,0.83,797,-1.8473,0,不變,https://goal-star.com/fund/00992A,2026-06-26T12:29:47.448Z
2026-06-26,00992A,3260,威剛,358000,0.34,397.5,-2.9304,0,不變,https://goal-star.com/fund/00992A,2026-06-26T12:29:47.448Z
2026-06-26,00992A,6139,亞翔,250000,0.52,878,0.3429,0,不變,https://goal-star.com/fund/00992A,2026-06-26T12:29:47.448Z
2026-06-26,00992A,5289,宜鼎,98000,0.37,1605,-7.7586,0,不變,https://goal-star.com/fund/00992A,2026-06-26T12:29:47.448Z
2026-06-26,00992A,3105,穩懋,966000,0.97,424,-8.4233,-983000,減碼,https://goal-star.com/fund/00992A,2026-06-26T12:29:47.448Z
2026-06-26,00992A,2303,聯電,7000000,2.71,164,-8.1232,0,不變,https://goal-star.com/fund/00992A,2026-06-26T12:29:47.448Z
2026-06-26,00992A,3583,辛耘,566000,1.09,812,-4.4706,0,不變,https://goal-star.com/fund/00992A,2026-06-26T12:29:47.448Z
2026-06-26,00992A,2337,旺宏,1343000,0.52,162.5,0.6192,0,不變,https://goal-star.com/fund/00992A,2026-06-26T12:29:47.448Z
2026-06-26,00992A,3363,上詮,300000,0.41,575,-8.5851,0,不變,https://goal-star.com/fund/00992A,2026-06-26T12:29:47.448Z
2026-06-26,00992A,2455,全新,2753000,2.26,348,-10.4247,0,不變,https://goal-star.com/fund/00992A,2026-06-26T12:29:47.448Z
2026-06-26,00992A,7751,竑騰,372000,1.19,1350,-3.5714,-3000,減碼,https://goal-star.com/fund/00992A,2026-06-26T12:29:47.448Z
2026-06-26,00992A,6182,合晶,2000000,0.56,119.5,-4.4,2000000,新增,https://goal-star.com/fund/00992A,2026-06-26T12:29:47.448Z
2026-06-26,00992A,7734,印能科技,56000,0.4,3045,-9.9112,0,不變,https://goal-star.com/fund/00992A,2026-06-26T12:29:47.448Z
