date,etfCode,symbol,name,shares,weight,closePrice,changePercent,shareDelta,status,sourceUrl,fetchedAt
2026-06-24,00981A,2330,台積電,11960000,9.8,2390,-4.0161,0,不變,https://goal-star.com/fund/00981A,2026-06-24T12:32:22.516Z
2026-06-24,00981A,2317,鴻海,7307000,0.64,256,-1.3487,0,不變,https://goal-star.com/fund/00981A,2026-06-24T12:32:22.516Z
2026-06-24,00981A,2454,聯發科,5037000,7.4,4285,-5.5127,60000,加碼,https://goal-star.com/fund/00981A,2026-06-24T12:32:22.516Z
2026-06-24,00981A,2308,台達電,5910000,4.05,2000,-3.8462,-312000,減碼,https://goal-star.com/fund/00981A,2026-06-24T12:32:22.516Z
2026-06-24,00981A,2382,廣達,1000,0,372,-0.1342,0,不變,https://goal-star.com/fund/00981A,2026-06-24T12:32:22.516Z
2026-06-24,00981A,2345,智邦,6334000,5.16,2375,-2.4641,0,不變,https://goal-star.com/fund/00981A,2026-06-24T12:32:22.516Z
2026-06-24,00981A,6669,緯穎,2417000,3.82,4605,-1.4973,0,不變,https://goal-star.com/fund/00981A,2026-06-24T12:32:22.516Z
2026-06-24,00981A,6223,旺矽,2352000,5.79,7175,7.4102,73000,加碼,https://goal-star.com/fund/00981A,2026-06-24T12:32:22.516Z
2026-06-24,00981A,3653,健策,2267000,2.83,3640,-5.2083,0,不變,https://goal-star.com/fund/00981A,2026-06-24T12:32:22.516Z
2026-06-24,00981A,2383,台光電,4486000,8.55,5560,-2.4561,0,不變,https://goal-star.com/fund/00981A,2026-06-24T12:32:22.516Z
2026-06-24,00981A,3665,貿聯-KY,4833848,3.32,2005,0.25,0,不變,https://goal-star.com/fund/00981A,2026-06-24T12:32:22.516Z
2026-06-24,00981A,3533,嘉澤,852000,0.65,2235,0,0,不變,https://goal-star.com/fund/00981A,2026-06-24T12:32:22.516Z
2026-06-24,00981A,3017,奇鋐,5191000,4.5,2530,4.3299,0,不變,https://goal-star.com/fund/00981A,2026-06-24T12:32:22.516Z
2026-06-24,00981A,6187,萬潤,1334000,0.48,1060,-9.4017,0,不變,https://goal-star.com/fund/00981A,2026-06-24T12:32:22.516Z
2026-06-24,00981A,6274,台燿,5058000,3.06,1765,1.7291,0,不變,https://goal-star.com/fund/00981A,2026-06-24T12:32:22.516Z
2026-06-24,00981A,5439,高技,3528000,0.39,320.5,-0.311,0,不變,https://goal-star.com/fund/00981A,2026-06-24T12:32:22.516Z
2026-06-24,00981A,6510,精測,930000,1.1,3465,-5.457,0,不變,https://goal-star.com/fund/00981A,2026-06-24T12:32:22.516Z
2026-06-24,00981A,2368,金像電,8315000,3.58,1255,-0.7905,0,不變,https://goal-star.com/fund/00981A,2026-06-24T12:32:22.516Z
2026-06-24,00981A,6805,富世達,1811000,1.12,1805,2.2663,0,不變,https://goal-star.com/fund/00981A,2026-06-24T12:32:22.516Z
2026-06-24,00981A,3661,世芯-KY,1000,0,4330,-1.0286,0,不變,https://goal-star.com/fund/00981A,2026-06-24T12:32:22.516Z
2026-06-24,00981A,2449,京元電子,6484000,0.74,333.5,1.214,0,不變,https://goal-star.com/fund/00981A,2026-06-24T12:32:22.516Z
2026-06-24,00981A,6515,穎崴,348000,1.13,9500,0.5291,0,不變,https://goal-star.com/fund/00981A,2026-06-24T12:32:22.516Z
2026-06-24,00981A,8210,勤誠,2267000,1.03,1325,1.145,0,不變,https://goal-star.com/fund/00981A,2026-06-24T12:32:22.516Z
2026-06-24,00981A,1590,亞德客-KY,530000,0.25,1385,0.7273,0,不變,https://goal-star.com/fund/00981A,2026-06-24T12:32:22.516Z
2026-06-24,00981A,3443,創意,1000,0,4880,3.2804,0,不變,https://goal-star.com/fund/00981A,2026-06-24T12:32:22.516Z
2026-06-24,00981A,3264,欣銓,1508000,0.12,234.5,0.4283,0,不變,https://goal-star.com/fund/00981A,2026-06-24T12:32:22.516Z
2026-06-24,00981A,8996,高力,354000,0.18,1450,0,0,不變,https://goal-star.com/fund/00981A,2026-06-24T12:32:22.516Z
2026-06-24,00981A,2327,國巨*,23892000,8.6,1050,2.9412,0,不變,https://goal-star.com/fund/00981A,2026-06-24T12:32:22.516Z
2026-06-24,00981A,5274,信驊,422000,2.65,18325,-0.9727,0,不變,https://goal-star.com/fund/00981A,2026-06-24T12:32:22.516Z
2026-06-24,00981A,3711,日月光投控,14158000,3.17,653,-1.3595,-3790000,減碼,https://goal-star.com/fund/00981A,2026-06-24T12:32:22.516Z
2026-06-24,00981A,3037,欣興,13307000,4.25,931,-4.4148,0,不變,https://goal-star.com/fund/00981A,2026-06-24T12:32:22.516Z
2026-06-24,00981A,3008,大立光,1000,0,4900,-2,0,不變,https://goal-star.com/fund/00981A,2026-06-24T12:32:22.516Z
2026-06-24,00981A,8358,金居,980000,0.21,638,-2.8919,0,不變,https://goal-star.com/fund/00981A,2026-06-24T12:32:22.516Z
2026-06-24,00981A,4958,臻鼎-KY,1000,0,587,0,0,不變,https://goal-star.com/fund/00981A,2026-06-24T12:32:22.516Z
2026-06-24,00981A,4966,譜瑞-KY,1642000,0.37,664,0.4539,0,不變,https://goal-star.com/fund/00981A,2026-06-24T12:32:22.516Z
2026-06-24,00981A,2481,強茂,5000,0,195,0.7752,0,不變,https://goal-star.com/fund/00981A,2026-06-24T12:32:22.516Z
2026-06-24,00981A,8046,南電,8917000,2.92,955,5.0605,0,不變,https://goal-star.com/fund/00981A,2026-06-24T12:32:22.516Z
2026-06-24,00981A,6488,環球晶,350000,0.12,965,-4.4554,0,不變,https://goal-star.com/fund/00981A,2026-06-24T12:32:22.516Z
2026-06-24,00981A,3376,新日興,1741000,0.12,201,-0.7407,0,不變,https://goal-star.com/fund/00981A,2026-06-24T12:32:22.516Z
2026-06-24,00981A,6147,頎邦,6275000,0.54,249,-3.4884,0,不變,https://goal-star.com/fund/00981A,2026-06-24T12:32:22.516Z
2026-06-24,00981A,2313,華通,1000,0,240,-1.2346,0,不變,https://goal-star.com/fund/00981A,2026-06-24T12:32:22.516Z
2026-06-24,00981A,2303,聯電,83532000,5.1,178,4.7059,6142000,加碼,https://goal-star.com/fund/00981A,2026-06-24T12:32:22.516Z
2026-06-24,00981A,6278,台表科,4334000,0.3,201.5,-1.2255,0,不變,https://goal-star.com/fund/00981A,2026-06-24T12:32:22.516Z
2026-06-24,00981A,2439,美律,18000,0,91.8,0.7684,0,不變,https://goal-star.com/fund/00981A,2026-06-24T12:32:22.516Z
2026-06-24,00981A,5347,世界,1000,0,200,7.2386,0,不變,https://goal-star.com/fund/00981A,2026-06-24T12:32:22.516Z
2026-06-24,00981A,6191,精成科,3988000,0.13,98.4,-0.7064,0,不變,https://goal-star.com/fund/00981A,2026-06-24T12:32:22.516Z
2026-06-24,00981A,1815,富喬,107000,0,106.5,5.9701,0,不變,https://goal-star.com/fund/00981A,2026-06-24T12:32:22.516Z
2026-06-24,00981A,2002,中鋼,5163000,0.03,19.35,0.7812,0,不變,https://goal-star.com/fund/00981A,2026-06-24T12:32:22.516Z
2026-06-24,00981A,8150,南茂,1000,0,103,-3.2864,-1443000,減碼,https://goal-star.com/fund/00981A,2026-06-24T12:32:22.516Z
2026-06-24,00981A,6271,同欣電,2966000,0.26,251.5,2.863,0,不變,https://goal-star.com/fund/00981A,2026-06-24T12:32:22.516Z
