date,etfCode,symbol,name,shares,weight,closePrice,changePercent,shareDelta,status,sourceUrl,fetchedAt
2026-05-06,00991A,2330,台積電,3600000,19.55,2250,0,0,不變,https://goal-star.com/fund/00991A,2026-05-12T14:05:39.657Z
2026-05-06,00991A,2317,鴻海,9000,0.01,252,5.2192,0,不變,https://goal-star.com/fund/00991A,2026-05-12T14:05:39.657Z
2026-05-06,00991A,2454,聯發科,500000,4.14,3430,8.7163,0,不變,https://goal-star.com/fund/00991A,2026-05-12T14:05:39.657Z
2026-05-06,00991A,2881,富邦金,9000,0,92.8,0.6508,0,不變,https://goal-star.com/fund/00991A,2026-05-12T14:05:39.657Z
2026-05-06,00991A,2308,台達電,940000,5.01,2210,2.0785,0,不變,https://goal-star.com/fund/00991A,2026-05-12T14:05:39.657Z
2026-05-06,00991A,2382,廣達,9000,0.01,346.5,7.9439,0,不變,https://goal-star.com/fund/00991A,2026-05-12T14:05:39.657Z
2026-05-06,00991A,2891,中信金,9000,0,54.7,2.243,0,不變,https://goal-star.com/fund/00991A,2026-05-12T14:05:39.657Z
2026-05-06,00991A,2345,智邦,760000,4.56,2485,-0.4008,30000,加碼,https://goal-star.com/fund/00991A,2026-05-12T14:05:39.657Z
2026-05-06,00991A,3044,健鼎,1000,0,488,0.7224,0,不變,https://goal-star.com/fund/00991A,2026-05-12T14:05:39.657Z
2026-05-06,00991A,6669,緯穎,225000,2.7,4970,4.5216,135000,加碼,https://goal-star.com/fund/00991A,2026-05-12T14:05:39.657Z
2026-05-06,00991A,6223,旺矽,260000,3.11,4950,-1,0,不變,https://goal-star.com/fund/00991A,2026-05-12T14:05:39.657Z
2026-05-06,00991A,3653,健策,200000,2.08,4305,-9.9372,0,不變,https://goal-star.com/fund/00991A,2026-05-12T14:05:39.657Z
2026-05-06,00991A,2383,台光電,765000,9.14,4950,4.6512,0,不變,https://goal-star.com/fund/00991A,2026-05-12T14:05:39.657Z
2026-05-06,00991A,3665,貿聯-KY,380000,2.52,2745,-4.5217,0,不變,https://goal-star.com/fund/00991A,2026-05-12T14:05:39.657Z
2026-05-06,00991A,3017,奇鋐,580000,3.41,2435,-9.9815,0,不變,https://goal-star.com/fund/00991A,2026-05-12T14:05:39.657Z
2026-05-06,00991A,2059,川湖,1000,0.01,4400,6.2802,0,不變,https://goal-star.com/fund/00991A,2026-05-12T14:05:39.657Z
2026-05-06,00991A,2360,致茂,1000,0.01,2345,4.9217,0,不變,https://goal-star.com/fund/00991A,2026-05-12T14:05:39.657Z
2026-05-06,00991A,6274,台燿,1000,0,1315,7.7869,0,不變,https://goal-star.com/fund/00991A,2026-05-12T14:05:39.657Z
2026-05-06,00991A,6510,精測,1000,0.01,3800,3.8251,0,不變,https://goal-star.com/fund/00991A,2026-05-12T14:05:39.657Z
2026-05-06,00991A,2368,金像電,1080000,3.77,1445,-2.3649,0,不變,https://goal-star.com/fund/00991A,2026-05-12T14:05:39.657Z
2026-05-06,00991A,1519,華城,1000,0,887,-0.8939,0,不變,https://goal-star.com/fund/00991A,2026-05-12T14:05:39.657Z
2026-05-06,00991A,3231,緯創,9000,0,146.5,3.169,0,不變,https://goal-star.com/fund/00991A,2026-05-12T14:05:39.657Z
2026-05-06,00991A,3036,文曄,1000,0,214,2.3923,0,不變,https://goal-star.com/fund/00991A,2026-05-12T14:05:39.657Z
2026-05-06,00991A,2408,南亞科,6200000,4.22,282,9.9415,0,不變,https://goal-star.com/fund/00991A,2026-05-12T14:05:39.657Z
2026-05-06,00991A,2449,京元電子,9000,0.01,328.5,-7.2034,0,不變,https://goal-star.com/fund/00991A,2026-05-12T14:05:39.657Z
2026-05-06,00991A,6515,穎崴,1000,0.02,10130,0.7459,0,不變,https://goal-star.com/fund/00991A,2026-05-12T14:05:39.657Z
2026-05-06,00991A,2344,華邦電,9000,0,108.5,9.8178,0,不變,https://goal-star.com/fund/00991A,2026-05-12T14:05:39.657Z
2026-05-06,00991A,8210,勤誠,1000,0,1325,4.7431,0,不變,https://goal-star.com/fund/00991A,2026-05-12T14:05:39.657Z
2026-05-06,00991A,1590,亞德客-KY,400000,1.39,1435,-0.3472,0,不變,https://goal-star.com/fund/00991A,2026-05-12T14:05:39.657Z
2026-05-06,00991A,7769,鴻勁,250000,3.44,5705,1.875,0,不變,https://goal-star.com/fund/00991A,2026-05-12T14:05:39.657Z
2026-05-06,00991A,2327,國巨*,3300000,2.69,338,-3.0129,0,不變,https://goal-star.com/fund/00991A,2026-05-12T14:05:39.657Z
2026-05-06,00991A,8299,群聯,1300000,7.29,2325,9.9291,0,不變,https://goal-star.com/fund/00991A,2026-05-12T14:05:39.657Z
2026-05-06,00991A,5274,信驊,100000,4.51,18700,5.1152,0,不變,https://goal-star.com/fund/00991A,2026-05-12T14:05:39.657Z
2026-05-06,00991A,3711,日月光投控,9000,0.01,524,0.7692,0,不變,https://goal-star.com/fund/00991A,2026-05-12T14:05:39.657Z
2026-05-06,00991A,2885,元大金,9000,0,56.2,1.444,0,不變,https://goal-star.com/fund/00991A,2026-05-12T14:05:39.657Z
2026-05-06,00991A,3037,欣興,3200000,6.63,858,-4.9834,0,不變,https://goal-star.com/fund/00991A,2026-05-12T14:05:39.657Z
2026-05-06,00991A,2603,長榮,9000,0.01,212,1.9231,0,不變,https://goal-star.com/fund/00991A,2026-05-12T14:05:39.657Z
2026-05-06,00991A,3189,景碩,2000000,2.33,482.5,-8.444,0,不變,https://goal-star.com/fund/00991A,2026-05-12T14:05:39.657Z
2026-05-06,00991A,2404,漢唐,330000,0.78,984,0.7165,0,不變,https://goal-star.com/fund/00991A,2026-05-12T14:05:39.657Z
2026-05-06,00991A,3324,雙鴻,510000,1.36,1105,-5.5556,0,不變,https://goal-star.com/fund/00991A,2026-05-12T14:05:39.657Z
2026-05-06,00991A,8046,南電,1650000,3.74,940,-5.7172,0,不變,https://goal-star.com/fund/00991A,2026-05-12T14:05:39.657Z
2026-05-06,00991A,2313,華通,9000,0.01,250,-8.9253,0,不變,https://goal-star.com/fund/00991A,2026-05-12T14:05:39.657Z
2026-05-06,00991A,3045,台灣大,1000,0,110,-0.4525,0,不變,https://goal-star.com/fund/00991A,2026-05-12T14:05:39.657Z
2026-05-06,00991A,5347,世界,9000,0,169,9.7403,0,不變,https://goal-star.com/fund/00991A,2026-05-12T14:05:39.657Z
2026-05-06,00991A,1303,南亞,1000,0,93.8,-0.2128,0,不變,https://goal-star.com/fund/00991A,2026-05-12T14:05:39.657Z
2026-05-06,00991A,2337,旺宏,9000,0,172,7.1651,0,不變,https://goal-star.com/fund/00991A,2026-05-12T14:05:39.657Z
2026-05-06,00991A,5871,中租-KY,1000,0,116,0.8696,0,不變,https://goal-star.com/fund/00991A,2026-05-12T14:05:39.657Z
2026-05-06,00991A,2412,中華電,1000,0,136,0,0,不變,https://goal-star.com/fund/00991A,2026-05-12T14:05:39.657Z
2026-05-06,00991A,2882,國泰金,9000,0,78.7,1.943,0,不變,https://goal-star.com/fund/00991A,2026-05-12T14:05:39.657Z
2026-05-06,00991A,2890,永豐金,9000,0,31,1.1419,0,不變,https://goal-star.com/fund/00991A,2026-05-12T14:05:39.657Z
