date,etfCode,symbol,name,shares,weight,closePrice,changePercent,shareDelta,status,sourceUrl,fetchedAt
2026-05-29,00992A,2330,台積電,1761000,8.07,2355,2.6144,0,不變,https://goal-star.com/fund/00992A,2026-05-29T13:41:51.885Z
2026-05-29,00992A,2454,聯發科,412000,3.46,4310,-2.2676,0,不變,https://goal-star.com/fund/00992A,2026-05-29T13:41:51.885Z
2026-05-29,00992A,2308,台達電,357000,1.7,2445,2.3013,0,不變,https://goal-star.com/fund/00992A,2026-05-29T13:41:51.885Z
2026-05-29,00992A,2345,智邦,1012000,4.79,2430,-0.2053,0,不變,https://goal-star.com/fund/00992A,2026-05-29T13:41:51.885Z
2026-05-29,00992A,6669,緯穎,400000,4.24,5445,10,0,不變,https://goal-star.com/fund/00992A,2026-05-29T13:41:51.885Z
2026-05-29,00992A,6223,旺矽,339000,3.93,5960,0.7608,0,不變,https://goal-star.com/fund/00992A,2026-05-29T13:41:51.885Z
2026-05-29,00992A,3653,健策,197000,1.36,3545,1.2857,0,不變,https://goal-star.com/fund/00992A,2026-05-29T13:41:51.885Z
2026-05-29,00992A,2383,台光電,636000,6.34,5120,1.2859,100000,加碼,https://goal-star.com/fund/00992A,2026-05-29T13:41:51.885Z
2026-05-29,00992A,6442,光聖,80000,0.29,1845,-2.6385,0,不變,https://goal-star.com/fund/00992A,2026-05-29T13:41:51.885Z
2026-05-29,00992A,3665,貿聯-KY,667000,2.71,2085,-1.4184,0,不變,https://goal-star.com/fund/00992A,2026-05-29T13:41:51.885Z
2026-05-29,00992A,3533,嘉澤,48000,0.25,2650,6.6398,0,不變,https://goal-star.com/fund/00992A,2026-05-29T13:41:51.885Z
2026-05-29,00992A,3017,奇鋐,651000,3.38,2665,3.2946,150000,加碼,https://goal-star.com/fund/00992A,2026-05-29T13:41:51.885Z
2026-05-29,00992A,3491,昇達科,47000,0.2,2200,10,0,不變,https://goal-star.com/fund/00992A,2026-05-29T13:41:51.885Z
2026-05-29,00992A,2059,川湖,323000,3.18,5065,7.766,0,不變,https://goal-star.com/fund/00992A,2026-05-29T13:41:51.885Z
2026-05-29,00992A,2360,致茂,207000,1.02,2520,-1.9455,0,不變,https://goal-star.com/fund/00992A,2026-05-29T13:41:51.885Z
2026-05-29,00992A,6274,台燿,636000,2.09,1690,9.7403,0,不變,https://goal-star.com/fund/00992A,2026-05-29T13:41:51.885Z
2026-05-29,00992A,6510,精測,272000,1.66,3140,-4.2683,0,不變,https://goal-star.com/fund/00992A,2026-05-29T13:41:51.885Z
2026-05-29,00992A,2368,金像電,669000,1.72,1320,1.1494,0,不變,https://goal-star.com/fund/00992A,2026-05-29T13:41:51.885Z
