date,etfCode,symbol,name,shares,weight,closePrice,changePercent,shareDelta,status,sourceUrl,fetchedAt
2026-06-16,00991A,2330,台積電,3650000,14.11,2400,1.0526,0,不變,https://goal-star.com/fund/00991A,2026-06-16T15:26:20.085Z
2026-06-16,00991A,2317,鴻海,9000,0,269,0.5607,0,不變,https://goal-star.com/fund/00991A,2026-06-16T15:26:20.085Z
2026-06-16,00991A,2454,聯發科,740000,5.44,4560,2.0134,0,不變,https://goal-star.com/fund/00991A,2026-06-16T15:26:20.085Z
2026-06-16,00991A,2881,富邦金,9000,0,132,3.5294,0,不變,https://goal-star.com/fund/00991A,2026-06-16T15:26:20.085Z
2026-06-16,00991A,2308,台達電,920000,3.31,2230,0.905,0,不變,https://goal-star.com/fund/00991A,2026-06-16T15:26:20.085Z
2026-06-16,00991A,2382,廣達,9000,0.01,362.5,-2.027,0,不變,https://goal-star.com/fund/00991A,2026-06-16T15:26:20.085Z
2026-06-16,00991A,2891,中信金,9000,0,70.8,0.9986,0,不變,https://goal-star.com/fund/00991A,2026-06-16T15:26:20.085Z
2026-06-16,00991A,2345,智邦,900000,3.65,2520,3.7037,0,不變,https://goal-star.com/fund/00991A,2026-06-16T15:26:20.085Z
2026-06-16,00991A,3044,健鼎,1000,0,546,5,0,不變,https://goal-star.com/fund/00991A,2026-06-16T15:26:20.085Z
2026-06-16,00991A,6669,緯穎,250000,1.97,4880,-0.4082,-100000,減碼,https://goal-star.com/fund/00991A,2026-06-16T15:26:20.085Z
2026-06-16,00991A,6223,旺矽,370000,3.84,6445,0.1554,0,不變,https://goal-star.com/fund/00991A,2026-06-16T15:26:20.085Z
2026-06-16,00991A,3653,健策,1000,0.01,3785,-1.3038,0,不變,https://goal-star.com/fund/00991A,2026-06-16T15:26:20.085Z
2026-06-16,00991A,2383,台光電,820000,6.76,5120,1.7893,0,不變,https://goal-star.com/fund/00991A,2026-06-16T15:26:20.085Z
2026-06-16,00991A,3665,貿聯-KY,550000,1.88,2120,-6.4018,0,不變,https://goal-star.com/fund/00991A,2026-06-16T15:26:20.085Z
2026-06-16,00991A,3017,奇鋐,750000,2.86,2370,-1.6598,-150000,減碼,https://goal-star.com/fund/00991A,2026-06-16T15:26:20.085Z
2026-06-16,00991A,2059,川湖,260000,2.79,6650,-4.454,0,不變,https://goal-star.com/fund/00991A,2026-06-16T15:26:20.085Z
2026-06-16,00991A,2360,致茂,1000,0,2325,2.649,0,不變,https://goal-star.com/fund/00991A,2026-06-16T15:26:20.085Z
2026-06-16,00991A,6274,台燿,1350000,3.5,1610,2.5478,0,不變,https://goal-star.com/fund/00991A,2026-06-16T15:26:20.085Z
2026-06-16,00991A,6510,精測,1000,0.01,3500,-2.6426,0,不變,https://goal-star.com/fund/00991A,2026-06-16T15:26:20.085Z
2026-06-16,00991A,2368,金像電,880000,1.91,1345,1.8939,0,不變,https://goal-star.com/fund/00991A,2026-06-16T15:26:20.085Z
2026-06-16,00991A,1519,華城,1000,0,781,-1.0139,0,不變,https://goal-star.com/fund/00991A,2026-06-16T15:26:20.085Z
2026-06-16,00991A,3231,緯創,9000,0,158,-2.1672,0,不變,https://goal-star.com/fund/00991A,2026-06-16T15:26:20.085Z
