date,etfCode,symbol,name,shares,weight,closePrice,changePercent,shareDelta,status,sourceUrl,fetchedAt
2026-07-03,00991A,2330,台積電,3500000,11.59,2445,-0.8114,100000,加碼,https://goal-star.com/fund/00991A,2026-07-03T12:23:58.173Z
2026-07-03,00991A,2317,鴻海,9000,0,240.5,0.6276,0,不變,https://goal-star.com/fund/00991A,2026-07-03T12:23:58.173Z
2026-07-03,00991A,2454,聯發科,900000,5.11,4195,-3.4522,0,不變,https://goal-star.com/fund/00991A,2026-07-03T12:23:58.173Z
2026-07-03,00991A,2881,富邦金,9000,0,121,1.2552,0,不變,https://goal-star.com/fund/00991A,2026-07-03T12:23:58.173Z
2026-07-03,00991A,2308,台達電,9000,0.03,2075,5.3299,0,不變,https://goal-star.com/fund/00991A,2026-07-03T12:23:58.173Z
2026-07-03,00991A,2382,廣達,9000,0.01,377,2.168,0,不變,https://goal-star.com/fund/00991A,2026-07-03T12:23:58.173Z
2026-07-03,00991A,2891,中信金,9000,0,70.6,1.0014,0,不變,https://goal-star.com/fund/00991A,2026-07-03T12:23:58.173Z
2026-07-03,00991A,2345,智邦,1000000,3.7,2735,-0.5455,0,不變,https://goal-star.com/fund/00991A,2026-07-03T12:23:58.173Z
2026-07-03,00991A,3044,健鼎,1000,0,520,2.7668,0,不變,https://goal-star.com/fund/00991A,2026-07-03T12:23:58.173Z
2026-07-03,00991A,6669,緯穎,340000,2.42,5265,1.25,80000,加碼,https://goal-star.com/fund/00991A,2026-07-03T12:23:58.173Z
2026-07-03,00991A,6223,旺矽,500000,5,7380,1.7229,20000,加碼,https://goal-star.com/fund/00991A,2026-07-03T12:23:58.173Z
2026-07-03,00991A,3653,健策,1000,0.01,3420,-1.5827,0,不變,https://goal-star.com/fund/00991A,2026-07-03T12:23:58.173Z
2026-07-03,00991A,2383,台光電,850000,7,6080,7.5155,0,不變,https://goal-star.com/fund/00991A,2026-07-03T12:23:58.173Z
2026-07-03,00991A,3665,貿聯-KY,260000,0.7,1995,-2.2059,0,不變,https://goal-star.com/fund/00991A,2026-07-03T12:23:58.173Z
2026-07-03,00991A,3017,奇鋐,640000,2.39,2760,0.7299,140000,加碼,https://goal-star.com/fund/00991A,2026-07-03T12:23:58.173Z
2026-07-03,00991A,2059,川湖,310000,3.36,8000,1.5228,0,不變,https://goal-star.com/fund/00991A,2026-07-03T12:23:58.173Z
2026-07-03,00991A,2360,致茂,1000,0,2265,2.4887,0,不變,https://goal-star.com/fund/00991A,2026-07-03T12:23:58.173Z
2026-07-03,00991A,6274,台燿,1900000,4.61,1790,5.9172,100000,加碼,https://goal-star.com/fund/00991A,2026-07-03T12:23:58.173Z
2026-07-03,00991A,6510,精測,1000,0,3320,2.4691,0,不變,https://goal-star.com/fund/00991A,2026-07-03T12:23:58.173Z
2026-07-03,00991A,2368,金像電,9000,0.02,1305,5.668,0,不變,https://goal-star.com/fund/00991A,2026-07-03T12:23:58.173Z
2026-07-03,00991A,1519,華城,1000,0,773,0.3896,0,不變,https://goal-star.com/fund/00991A,2026-07-03T12:23:58.173Z
2026-07-03,00991A,3231,緯創,9000,0,159,0.3155,0,不變,https://goal-star.com/fund/00991A,2026-07-03T12:23:58.173Z
2026-07-03,00991A,3036,文曄,1000,0,221.5,1.8391,0,不變,https://goal-star.com/fund/00991A,2026-07-03T12:23:58.173Z
2026-07-03,00991A,2408,南亞科,9000000,4.99,409.5,0.6143,0,不變,https://goal-star.com/fund/00991A,2026-07-03T12:23:58.173Z
2026-07-03,00991A,2449,京元電子,9000,0,335,-3.5971,0,不變,https://goal-star.com/fund/00991A,2026-07-03T12:23:58.173Z
2026-07-03,00991A,6515,穎崴,210000,2.82,9900,6.3373,0,不變,https://goal-star.com/fund/00991A,2026-07-03T12:23:58.173Z
2026-07-03,00991A,2344,華邦電,4800000,1.2,184.5,0.545,0,不變,https://goal-star.com/fund/00991A,2026-07-03T12:23:58.173Z
2026-07-03,00991A,8210,勤誠,410000,0.73,1305,-0.3817,0,不變,https://goal-star.com/fund/00991A,2026-07-03T12:23:58.173Z
2026-07-03,00991A,7769,鴻勁,300000,2.79,6865,-2.3471,0,不變,https://goal-star.com/fund/00991A,2026-07-03T12:23:58.173Z
2026-07-03,00991A,8996,高力,121000,0.23,1380,-2.4735,-349000,減碼,https://goal-star.com/fund/00991A,2026-07-03T12:23:58.173Z
2026-07-03,00991A,2327,國巨*,6150000,8.7,1045,-0.9479,0,不變,https://goal-star.com/fund/00991A,2026-07-03T12:23:58.173Z
2026-07-03,00991A,8299,群聯,1500000,4.66,2295,2.4554,0,不變,https://goal-star.com/fund/00991A,2026-07-03T12:23:58.173Z
2026-07-03,00991A,5274,信驊,120000,2.81,17265,-2.7324,0,不變,https://goal-star.com/fund/00991A,2026-07-03T12:23:58.173Z
2026-07-03,00991A,3711,日月光投控,2900000,2.68,682,-6.1898,200000,加碼,https://goal-star.com/fund/00991A,2026-07-03T12:23:58.173Z
2026-07-03,00991A,2885,元大金,9000,0,67.2,2.1277,0,不變,https://goal-star.com/fund/00991A,2026-07-03T12:23:58.173Z
2026-07-03,00991A,3037,欣興,3800000,4.99,969,-1.0215,100000,加碼,https://goal-star.com/fund/00991A,2026-07-03T12:23:58.173Z
2026-07-03,00991A,2603,長榮,9000,0,195,5.1213,0,不變,https://goal-star.com/fund/00991A,2026-07-03T12:23:58.173Z
2026-07-03,00991A,4958,臻鼎-KY,1500000,1.25,613,2.5084,0,不變,https://goal-star.com/fund/00991A,2026-07-03T12:23:58.173Z
2026-07-03,00991A,3189,景碩,2800000,3.16,833,0.3614,0,不變,https://goal-star.com/fund/00991A,2026-07-03T12:23:58.173Z
2026-07-03,00991A,2404,漢唐,650000,1.19,1350,-2.5271,0,不變,https://goal-star.com/fund/00991A,2026-07-03T12:23:58.173Z
2026-07-03,00991A,3324,雙鴻,1000,0,1020,-1.9231,0,不變,https://goal-star.com/fund/00991A,2026-07-03T12:23:58.173Z
2026-07-03,00991A,8046,南電,2300000,3.69,1185,3.4934,100000,加碼,https://goal-star.com/fund/00991A,2026-07-03T12:23:58.173Z
2026-07-03,00991A,2313,華通,9000,0,229.5,0.4376,0,不變,https://goal-star.com/fund/00991A,2026-07-03T12:23:58.173Z
2026-07-03,00991A,2303,聯電,14000000,3.23,170.5,3.0211,0,不變,https://goal-star.com/fund/00991A,2026-07-03T12:23:58.173Z
2026-07-03,00991A,3042,晶技,9000,0,249,9.9338,0,不變,https://goal-star.com/fund/00991A,2026-07-03T12:23:58.173Z
2026-07-03,00991A,5347,世界,9000,0,193.5,-2.2727,0,不變,https://goal-star.com/fund/00991A,2026-07-03T12:23:58.173Z
2026-07-03,00991A,2337,旺宏,9000,0,142.5,-2.0619,0,不變,https://goal-star.com/fund/00991A,2026-07-03T12:23:58.173Z
2026-07-03,00991A,2412,中華電,1000,0,141,0,0,不變,https://goal-star.com/fund/00991A,2026-07-03T12:23:58.173Z
2026-07-03,00991A,2882,國泰金,9000,0,93.6,0.107,0,不變,https://goal-star.com/fund/00991A,2026-07-03T12:23:58.173Z
2026-07-03,00991A,2492,華新科,3200000,2.44,563,0.3565,0,不變,https://goal-star.com/fund/00991A,2026-07-03T12:23:58.173Z
