date,etfCode,symbol,name,shares,weight,closePrice,changePercent,shareDelta,status,sourceUrl,fetchedAt
2026-05-07,00985A,2330,台積電,1372000,28.45,2310,2.6667,0,不變,https://goal-star.com/fund/00985A,2026-05-12T14:05:40.855Z
2026-05-07,00985A,2317,鴻海,117000,0.27,253.5,0.5952,0,不變,https://goal-star.com/fund/00985A,2026-05-12T14:05:40.855Z
2026-05-07,00985A,2454,聯發科,47000,1.44,3420,-0.2915,-80000,減碼,https://goal-star.com/fund/00985A,2026-05-12T14:05:40.855Z
2026-05-07,00985A,2881,富邦金,2964000,2.51,94.5,1.8319,1488000,加碼,https://goal-star.com/fund/00985A,2026-05-12T14:05:40.855Z
2026-05-07,00985A,2308,台達電,119000,2.44,2280,3.1674,-36000,減碼,https://goal-star.com/fund/00985A,2026-05-12T14:05:40.855Z
2026-05-07,00985A,2382,廣達,14000,0.04,344,-0.7215,0,不變,https://goal-star.com/fund/00985A,2026-05-12T14:05:40.855Z
2026-05-07,00985A,2891,中信金,4000000,2.02,56.2,2.7422,1670000,加碼,https://goal-star.com/fund/00985A,2026-05-12T14:05:40.855Z
2026-05-07,00985A,2345,智邦,66000,1.52,2560,3.0181,-18000,減碼,https://goal-star.com/fund/00985A,2026-05-12T14:05:40.855Z
2026-05-07,00985A,6669,緯穎,41000,1.8,4880,-1.8109,0,不變,https://goal-star.com/fund/00985A,2026-05-12T14:05:40.855Z
2026-05-07,00985A,6223,旺矽,30000,1.35,5030,1.6162,0,不變,https://goal-star.com/fund/00985A,2026-05-12T14:05:40.855Z
2026-05-07,00985A,3653,健策,33000,1.15,3875,-9.9884,0,不變,https://goal-star.com/fund/00985A,2026-05-12T14:05:40.855Z
2026-05-07,00985A,3293,鈊象,34000,0.22,720,-1.5048,0,不變,https://goal-star.com/fund/00985A,2026-05-12T14:05:40.855Z
2026-05-07,00985A,2383,台光電,37000,1.65,4960,0.202,0,不變,https://goal-star.com/fund/00985A,2026-05-12T14:05:40.855Z
2026-05-07,00985A,6442,光聖,64000,1.2,2095,1.699,0,不變,https://goal-star.com/fund/00985A,2026-05-12T14:05:40.855Z
2026-05-07,00985A,3665,貿聯-KY,41000,1.02,2780,1.275,-68000,減碼,https://goal-star.com/fund/00985A,2026-05-12T14:05:40.855Z
2026-05-07,00985A,3533,嘉澤,19000,0.49,2850,4.2048,0,不變,https://goal-star.com/fund/00985A,2026-05-12T14:05:40.855Z
2026-05-07,00985A,3017,奇鋐,91000,1.97,2415,-0.8214,0,不變,https://goal-star.com/fund/00985A,2026-05-12T14:05:40.855Z
2026-05-07,00985A,3529,力旺,37000,1.56,4705,6.9318,32000,加碼,https://goal-star.com/fund/00985A,2026-05-12T14:05:40.855Z
2026-05-07,00985A,2059,川湖,153000,6.65,4840,10,0,不變,https://goal-star.com/fund/00985A,2026-05-12T14:05:40.855Z
2026-05-07,00985A,2360,致茂,100000,2.09,2325,-0.8529,0,不變,https://goal-star.com/fund/00985A,2026-05-12T14:05:40.855Z
